gauge,width_in,height_in,price,weight_kg,load_capacity_kg,type,category,sku
16,48,3.5,250.71,5.35,2654,selectivo,viga,beam-16g-48in-3.5in
16,92,3.5,447.69,9.55,1372,selectivo,viga,beam-16g-92in-3.5in
16,92,4.5,516.88,11.02,2048,selectivo,viga,beam-16g-92in-4.5in
16,92,5,563.74,12.02,2480,selectivo,viga,beam-16g-92in-5in
16,92,5.5,598.52,12.76,2840,selectivo,viga,beam-16g-92in-5.5in
16,96,3.5,465.2,9.92,1316,selectivo,viga,beam-16g-96in-3.5in
16,96,4.5,537.17,11.45,1964,selectivo,viga,beam-16g-96in-4.5in
16,96,5,585.79,12.49,2376,selectivo,viga,beam-16g-96in-5in
16,96,5.5,622.33,13.27,2722,selectivo,viga,beam-16g-96in-5.5in
16,102,3.5,491.65,10.48,1234,selectivo,viga,beam-16g-102in-3.5in
16,102,4.5,567.97,12.11,1848,selectivo,viga,beam-16g-102in-4.5in
16,102,5,618.83,13.19,2236,selectivo,viga,beam-16g-102in-5in
16,102,5.5,657.62,14.02,2562,selectivo,viga,beam-16g-102in-5.5in
16,108,3.5,518.02,11.05,1100,selectivo,viga,beam-16g-108in-3.5in
16,108,4.5,598.77,12.77,1744,selectivo,viga,beam-16g-108in-4.5in
16,108,5,651.87,13.9,2112,selectivo,viga,beam-16g-108in-5in
16,108,5.5,692.91,14.77,2420,selectivo,viga,beam-16g-108in-5.5in
16,108,6,733.94,15.65,2534,selectivo,viga,beam-16g-108in-6in
16,120,3.5,572.44,12.21,880,selectivo,viga,beam-16g-120in-3.5in
16,120,4.5,662.41,14.12,1562,selectivo,viga,beam-16g-120in-4.5in
16,120,5,720.16,15.36,1892,selectivo,viga,beam-16g-120in-5in
16,120,5.5,765.84,16.33,2168,selectivo,viga,beam-16g-120in-5.5in
16,120,6,811.51,17.3,2272,selectivo,viga,beam-16g-120in-6in
16,144,3.5,679.8,14.49,600,selectivo,viga,beam-16g-144in-3.5in
16,144,4.5,787.65,16.79,1138,selectivo,viga,beam-16g-144in-4.5in
16,144,5,854.53,18.22,1568,selectivo,viga,beam-16g-144in-5in
16,144,5.5,909.34,19.39,1780,selectivo,viga,beam-16g-144in-5.5in
16,144,6,964.15,20.56,1880,selectivo,viga,beam-16g-144in-6in
14,48,3.5,302.61,6.45,3344,selectivo,viga,beam-14g-48in-3.5in
14,92,3.5,546.84,11.66,1730,selectivo,viga,beam-14g-92in-3.5in
14,92,4.5,634.2,13.52,2584,selectivo,viga,beam-14g-92in-4.5in
14,92,5,690.36,14.72,3134,selectivo,viga,beam-14g-92in-5in
14,92,5.5,733.32,15.64,3606,selectivo,viga,beam-14g-92in-5.5in
14,96,3.5,569,12.13,1656,selectivo,viga,beam-14g-96in-3.5in
14,96,4.5,659.76,14.07,2476,selectivo,viga,beam-14g-96in-4.5in
14,96,5,717.8,15.3,3004,selectivo,viga,beam-14g-96in-5in
14,96,5.5,762.59,16.26,3456,selectivo,viga,beam-14g-96in-5.5in
14,102,3.5,601.91,12.83,1522,selectivo,viga,beam-14g-102in-3.5in
14,102,4.5,698.09,14.88,2330,selectivo,viga,beam-14g-102in-4.5in
14,102,5,758.96,16.18,2826,selectivo,viga,beam-14g-102in-5in
14,102,5.5,806.5,17.2,3252,selectivo,viga,beam-14g-102in-5.5in
14,108,3.5,634.51,13.53,1350,selectivo,viga,beam-14g-108in-3.5in
14,108,4.5,736.42,15.7,220,selectivo,viga,beam-14g-108in-4.5in
14,108,5,800.12,17.06,2668,selectivo,viga,beam-14g-108in-5in
14,108,5.5,850.42,18.13,3072,selectivo,viga,beam-14g-108in-5.5in
14,108,6,902.04,19.23,3254,selectivo,viga,beam-14g-108in-6in
14,120,3.5,702.19,14.97,1085,selectivo,viga,beam-14g-120in-3.5in
14,120,4.5,815.64,17.39,1970,selectivo,viga,beam-14g-120in-4.5in
14,120,5,885.18,18.87,2392,selectivo,viga,beam-14g-120in-5in
14,120,5.5,941.17,20.07,2752,selectivo,viga,beam-14g-120in-5.5in
14,120,6,998.63,21.29,2916,selectivo,viga,beam-14g-120in-6in
14,144,3.5,835.71,17.82,740,selectivo,viga,beam-14g-144in-3.5in
14,144,4.5,971.52,20.71,1398,selectivo,viga,beam-14g-144in-4.5in
14,144,5,1052.55,22.44,1970,selectivo,viga,beam-14g-144in-5in
14,144,5.5,1119.74,23.87,2282,selectivo,viga,beam-14g-144in-5.5in
14,144,6,1188.69,25.35,2418,selectivo,viga,beam-14g-144in-6in
12,48,3.5,407.52,8.69,4772,selectivo,viga,beam-12g-48in-3.5in
12,92,3.5,748.28,15.95,2468,selectivo,viga,beam-12g-92in-3.5in
12,92,4.5,869.53,18.54,3714,selectivo,viga,beam-12g-92in-4.5in
12,92,5,941.99,20.09,4512,selectivo,viga,beam-12g-92in-5in
12,92,5.5,1002.37,21.37,5204,selectivo,viga,beam-12g-92in-5.5in
12,96,3.5,778.85,16.61,2330,selectivo,viga,beam-12g-96in-3.5in
12,96,4.5,904.94,19.29,3558,selectivo,viga,beam-12g-96in-4.5in
12,96,5,980.63,20.91,4326,selectivo,viga,beam-12g-96in-5in
12,96,5.5,1043.43,22.25,4988,selectivo,viga,beam-12g-96in-5.5in
12,102,3.5,824.12,17.57,2070,selectivo,viga,beam-12g-102in-3.5in
12,102,4.5,958.41,20.44,3348,selectivo,viga,beam-12g-102in-4.5in
12,102,5,1038.6,22.15,4070,selectivo,viga,beam-12g-102in-5in
12,102,5.5,1104.3,23.55,4694,selectivo,viga,beam-12g-102in-5.5in
12,108,3.5,870.01,18.55,1830,selectivo,viga,beam-12g-108in-3.5in
12,108,4.5,1011.55,21.57,3162,selectivo,viga,beam-12g-108in-4.5in
12,108,5,1095.12,23.35,3844,selectivo,viga,beam-12g-108in-5in
12,108,5.5,1165.65,24.85,4432,selectivo,viga,beam-12g-108in-5.5in
12,108,6,1236.66,26.37,4700,selectivo,viga,beam-12g-108in-6in
12,120,3.5,964.69,20.57,1470,selectivo,viga,beam-12g-120in-3.5in
12,120,4.5,1122.17,23.93,2780,selectivo,viga,beam-12g-120in-4.5in
12,120,5,1213.95,25.88,3444,selectivo,viga,beam-12g-120in-5in
12,120,5.5,1291.73,27.54,3974,selectivo,viga,beam-12g-120in-5.5in
12,120,6,1371.92,29.25,4214,selectivo,viga,beam-12g-120in-6in
12,144,3.5,1149.71,24.51,1000,selectivo,viga,beam-12g-144in-3.5in
12,144,4.5,1339.07,28.55,1910,selectivo,viga,beam-12g-144in-4.5in
12,144,5,1446.79,30.85,2680,selectivo,viga,beam-12g-144in-5in
12,144,5.5,1540.51,32.85,3290,selectivo,viga,beam-12g-144in-5.5in
12,144,6,1636.16,34.89,3492,selectivo,viga,beam-12g-144in-6in